Year,First-Order Degree β,First-Order Degree R²,Second-Order Degree ζ,Second-Order Degree R²,Coefficient of Variation
2000,2.166,0.976,15.966,0.923,1.000
2001,2.194,0.966,16.728,0.938,1.000
2002,2.239,0.979,17.497,0.910,1.000
2003,2.222,0.981,15.481,0.919,1.000
2004,2.194,0.981,16.138,0.933,1.000
2005,2.276,0.973,16.088,0.948,1.000
2006,2.426,0.968,16.270,0.932,1.000
2007,2.387,0.965,15.263,0.932,1.000
2008,2.212,0.982,22.837,0.876,1.000
2009,1.997,0.963,31.623,0.968,1.000
2010,2.184,0.985,19.852,0.795,1.000
2011,2.264,0.983,22.878,0.948,1.000
2012,2.217,0.982,15.122,0.909,1.000
2013,2.172,0.987,12.780,0.835,1.000
2014,2.095,0.979,13.754,0.907,1.000
2015,1.981,0.968,12.698,0.954,1.000
2016,1.943,0.953,10.977,0.948,1.000
2017,2.085,0.969,13.412,0.945,1.000
2018,2.144,0.983,16.637,0.973,1.000
2019,2.007,0.969,15.615,0.959,1.000
